camerfirma.com	ES	Madrid, Madrid
certum.eu	PL	Szczecin, West Pomeranian
amazontrust.com	US	North Seattle, Washington
atos.net	DE	Meppen, Lower Saxony
firmaprofesional.com	ES	Barcelona, Catalonia
aoc.cat	ES	Barcelona, Catalonia
digicert.com	US	Lehi, Utah
emudhra.com	IN	Bangalore, Karnataka
entrust.net	CA	Ottawa, Ontario
globalsign.com	BE	Leuven, Flemish Brabant
godaddy.com	US	Scottsdale, Arizona
goog	US	Mountain View, California
identrust.com	US	Salt Lake City, Utah
letsencrypt.org	US	San Francisco, California
izenpe.com	ES	Vitoria-Gasteiz, Alava
microsoft.com	US	Redmond, Washington
wisekey.com	CH	Geneva, Geneva
quovadisglobal.com	BM	Hamilton
secomtrust.net	JP	Mitaka-Shi, Tokyo
sectigo.com	GB	Salford, Greater Manchester
trustwave.com	US	Chicago, Ilinois
sheca.com	CN	Hongkou, Shanghai
ssl.com	US	Houston. Texas
swisssign.com	CH	Glattbrugg, Opfikon
teliasonera.com	FI	Helsinki, Uusimaa
trustcorsystems.com	CA	Toronto, Ontario
trustis.com	GB	Thatcham, Berkshire
networksolutions.com	US	Herndon, Virginia
